,country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
1372,BR,Brasil,25,Paraíba,PB,2509370,Mato Grosso,2944,0.565,"[2020, 2019, 2018, 2017, 2016]","[265, 269, 251, 250, 204]"
1373,BR,Brasil,25,Paraíba,PB,2509396,Maturéia,6690,0.5720000000000001,"[2020, 2019, 2018, 2017, 2016]","[435, 427, 422, 437, 441]"
1374,BR,Brasil,25,Paraíba,PB,2509404,Mogeiro,13238,0.574,"[2020, 2019, 2018, 2017, 2016]","[1345, 1223, 1534, 1743, 1816]"
1375,BR,Brasil,25,Paraíba,PB,2509503,Montadas,5806,0.59,"[2020, 2019, 2018, 2017, 2016]","[631, 607, 653, 553, 439]"
1376,BR,Brasil,25,Paraíba,PB,2509602,Monte Horebe,4867,0.5870000000000001,"[2020, 2019, 2018, 2017, 2016]","[368, 246, 248, 243, 293]"
1377,BR,Brasil,25,Paraíba,PB,2509701,Monteiro,33638,0.628,"[2020, 2019, 2018, 2017, 2016]","[3541, 3471, 3401, 3223, 2745]"
1378,BR,Brasil,25,Paraíba,PB,2509800,Mulungu,9962,0.565,"[2020, 2019, 2018, 2017, 2016]","[600, 586, 628, 686, 749]"
1379,BR,Brasil,25,Paraíba,PB,2512408,Puxinanã,13801,0.617,"[2020, 2019, 2018, 2017, 2016]","[1013, 782, 791, 822, 738]"
1380,BR,Brasil,25,Paraíba,PB,2509909,Natuba,10449,0.541,"[2020, 2019, 2018, 2017, 2016]","[425, 755, 769, 754, 679]"
1381,BR,Brasil,25,Paraíba,PB,2510006,Nazarezinho,7271,0.562,"[2020, 2019, 2018, 2017, 2016]","[419, 444, 439, 433, 426]"
1382,BR,Brasil,25,Paraíba,PB,2510105,Nova Floresta,10614,0.601,"[2020, 2019, 2018, 2017, 2016]","[709, 735, 735, 749, 668]"
1383,BR,Brasil,25,Paraíba,PB,2510204,Nova Olinda,5892,0.573,"[2020, 2019, 2018, 2017, 2016]","[439, 393, 486, 455, 410]"
1384,BR,Brasil,25,Paraíba,PB,2510303,Nova Palmeira,5011,0.595,"[2020, 2019, 2018, 2017, 2016]","[417, 418, 466, 461, 480]"
1385,BR,Brasil,25,Paraíba,PB,2510402,Olho d'Água,6399,0.5720000000000001,"[2020, 2019, 2018, 2017, 2016]","[505, 528, 569, 390, 483]"
1386,BR,Brasil,25,Paraíba,PB,2510501,Olivedos,3989,0.603,"[2020, 2019, 2018, 2017, 2016]","[313, 298, 278, 321, 273]"
1387,BR,Brasil,25,Paraíba,PB,2510600,Ouro Velho,3052,0.614,"[2020, 2019, 2018, 2017, 2016]","[320, 324, 332, 327, 317]"
1388,BR,Brasil,25,Paraíba,PB,2510659,Parari,1747,0.584,"[2020, 2019, 2018, 2017, 2016]","[233, 228, 223, 228, 232]"
1389,BR,Brasil,25,Paraíba,PB,2510709,Passagem,2453,0.62,"[2020, 2019, 2018, 2017, 2016]","[257, 265, 244, 258, 273]"
1390,BR,Brasil,25,Paraíba,PB,2510808,Patos,108766,0.701,"[2020, 2019, 2018, 2017, 2016]","[17113, 17929, 17237, 16813, 16388]"
1391,BR,Brasil,25,Paraíba,PB,2510907,Paulista,12411,0.5870000000000001,"[2020, 2019, 2018, 2017, 2016]","[754, 847, 790, 786, 627]"
1392,BR,Brasil,25,Paraíba,PB,2511004,Pedra Branca,3802,0.599,"[2020, 2019, 2018, 2017, 2016]","[302, 329, 295, 339, 384]"
1393,BR,Brasil,25,Paraíba,PB,2511103,Pedra Lavrada,7954,0.574,"[2020, 2019, 2018, 2017, 2016]","[733, 732, 723, 719, 767]"
1394,BR,Brasil,25,Paraíba,PB,2511202,Pedras de Fogo,28607,0.59,"[2020, 2019, 2018, 2017, 2016]","[3909, 4869, 4851, 4835, 5024]"
1395,BR,Brasil,25,Paraíba,PB,2511301,Piancó,16147,0.621,"[2020, 2019, 2018, 2017, 2016]","[1591, 1982, 1816, 1688, 1701]"
1396,BR,Brasil,25,Paraíba,PB,2512762,Riachão do Poço,4571,0.555,"[2020, 2019, 2018, 2017, 2016]","[371, 452, 435, 421, 307]"
1397,BR,Brasil,26,Pernambuco,PE,2604106,Caruaru,369343,0.677,"[2020, 2019, 2018, 2017, 2016]","[81582, 83519, 80589, 80961, 84645]"
1398,BR,Brasil,25,Paraíba,PB,2511400,Picuí,18737,0.608,"[2020, 2019, 2018, 2017, 2016]","[1616, 1647, 1623, 1670, 1535]"
